"id","output_set_id","input_id","data"
"48","4","16","{""data"": [[-1.3722699008170736, 238.2861400894188]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"49","4","16","{""data"": [[410.0192455932987, 220.70044709388972]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"50","4","16","{""data"": [[838.7690528804152, 3.517138599105812]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"51","4","17","{""data"": [[34.39655172413793, 10.906113537117877]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"52","4","17","{""data"": [[515.9482758620691, 173.22052401746723]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"53","4","17","{""data"": [[1020.1293103448276, 52.172489082969406]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"54","4","18","{""data"": [[37.112068965517246, 62.080786026200855]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"55","4","18","{""data"": [[543.1034482758621, 201.46943231441043]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"56","4","18","{""data"": [[992.9741379310344, 16.22925764192135]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"57","4","19","{""data"": [[13.577586206896552, 11.814410480349352]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"58","4","19","{""data"": [[543.1034482758621, 175.04585152838428]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"59","4","19","{""data"": [[1002.9310344827588, 8.146288209606979]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"60","4","20","{""data"": [[46.9654144611748, 108.79284649776451]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"61","4","20","{""data"": [[328.6698956780924, 157.973174366617]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"62","4","20","{""data"": [[675.8357315381057, 76.00596125186289]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"63","4","21","{""data"": [[75.37893134282338, 226.53353204172876]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"64","4","21","{""data"": [[474.0694729945012, 390.02235469448584]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"65","4","21","{""data"": [[969.7958078524076, 219.053651266766]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"66","4","22","{""data"": [[70.43275862068964, 100.9480349344978]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"67","4","22","{""data"": [[454.251724137931, 325.43711790393013]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"68","4","22","{""data"": [[757.3499999999999, 91.32707423580786]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"69","4","23","{""data"": [[76.48527673570072, 255.2369597615499]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"70","4","23","{""data"": [[484.328639703993, 428.0655737704918]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"71","4","23","{""data"": [[1025.4836836425304, 236.92399403874813]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"72","4","24","{""data"": [[44.35344827586207, 159.3340611353712]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"73","4","24","{""data"": [[537.6724137931036, 257.45633187772927]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"74","4","24","{""data"": [[915.1293103448276, 170.3384279475983]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"75","4","25","{""data"": [[17.198275862068964, 15.403930131004358]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"76","4","25","{""data"": [[542.1982758620691, 169.46506550218345]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"77","4","25","{""data"": [[1015.603448275862, 3.4825327510916964]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"78","4","26","{""data"": [[57.02586206896552, 193.16593886462883]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"79","4","26","{""data"": [[510.5172413793103, 264.6943231441048]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"80","4","26","{""data"": [[974.8706896551724, 160.1528384279476]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"81","4","27","{""data"": [[66.77051749832982, 129.3591654247392]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"82","4","27","{""data"": [[526.029729174161, 311.9225037257824]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"83","4","27","{""data"": [[949.2484197543552, 157.52608047690015]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"84","4","28","{""data"": [[23.52189218356544, 273.32339791356185]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"85","4","28","{""data"": [[521.9108124775167, 315.0521609538003]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"86","4","28","{""data"": [[1035.745670383884, 244.1132637853949]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"87","4","29","{""data"": [[63.362068965517246, 67.82314410480353]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"88","4","29","{""data"": [[534.9568965517242, 225.55240174672497]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"89","4","29","{""data"": [[1002.0258620689656, 17.386462882096083]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"90","4","30","{""data"": [[12.413793103448276, 45.39301310043669]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"91","4","30","{""data"": [[501.9827586206897, 214.38864628820963]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"92","4","30","{""data"": [[806.8965517241379, 134.21397379912665]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"93","4","31","{""data"": [[264.47851893725266, 227.42175856929953]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"94","4","31","{""data"": [[534.2675625674494, 351.56482861400895]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"95","4","31","{""data"": [[829.7998355516727, 254.54545454545453]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"96","4","32","{""data"": [[345.8271236959761, 118.92697466467958]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"97","4","32","{""data"": [[446.7405827637597, 164.82861400894188]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"98","4","32","{""data"": [[503.37568734261777, 125.18628912071534]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"99","4","33","{""data"": [[23.53448275862069, 212.00655021834064]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"100","4","33","{""data"": [[574.7844827586208, 300.9585152838428]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"101","4","33","{""data"": [[971.25, 150.56550218340615]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"102","4","34","{""data"": [[47.06896551724138, 122.55458515283844]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"103","4","34","{""data"": [[513.2327586206897, 228.9301310043668]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"104","4","34","{""data"": [[954.9568965517242, 177.5764192139738]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"105","4","35","{""data"": [[31.681034482758623, 97.7947598253275]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"106","4","35","{""data"": [[537.6724137931036, 255.52401746724897]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"107","4","35","{""data"": [[984.8275862068969, 168.4061135371179]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"108","4","36","{""data"": [[39.827586206896555, 16.731441048034895]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"109","4","36","{""data"": [[550.3448275862069, 152.45196506550215]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"110","4","36","{""data"": [[995.6896551724138, 8.478165938864606]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"111","4","37","{""data"": [[37.112068965517246, 10.823144104803475]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"112","4","37","{""data"": [[519.5689655172414, 140.1244541484716]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"113","4","37","{""data"": [[1014.698275862069, 43.83624454148469]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"114","4","38","{""data"": [[27.155172413793103, 21.827510917030537]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"115","4","38","{""data"": [[508.7068965517242, 150.2117903930131]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"116","4","38","{""data"": [[1027.3706896551726, 24.57860262008731]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"117","4","39","{""data"": [[29.870689655172413, 11.13100436681222]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"118","4","39","{""data"": [[521.3793103448277, 187.2008733624454]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"119","4","39","{""data"": [[1024.6551724137933, 14.79912663755458]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"120","4","40","{""data"": [[165.6833598848861, 289.9850968703428]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"121","4","40","{""data"": [[507.7446811244153, 412.354694485842]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"122","4","40","{""data"": [[934.0525592270928, 323.91952309985095]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"123","4","41","{""data"": [[28.965517241379313, 117.2489082969432]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"124","4","41","{""data"": [[525.9051724137931, 255.72052401746728]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"125","4","41","{""data"": [[1024.6551724137933, 122.75109170305676]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"126","4","42","{""data"": [[57.931034482758626, 14.039301310043657]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"127","4","42","{""data"": [[501.4655172413794, 155.26200873362447]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"128","4","42","{""data"": [[1031.896551724138, 26.877729257641903]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"129","4","43","{""data"": [[57.52926666324065, 215.3204172876304]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"130","4","43","{""data"": [[514.9879233259674, 329.13263785394935]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"131","4","43","{""data"": [[793.3090086849273, 198.91505216095385]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"132","4","44","{""data"": [[47.06896551724138, 108.67030567685588]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"133","4","44","{""data"": [[454.3965517241379, 191.20305676855895]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"134","4","44","{""data"": [[1030.086206896552, 93.99781659388644]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"135","4","45","{""data"": [[28.965517241379313, 34.973799126637545]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"136","4","45","{""data"": [[519.5689655172414, 285.32314410480353]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"137","4","45","{""data"": [[1000.2155172413794, 41.39301310043669]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"138","4","46","{""data"": [[38.92241379310345, 345.3930131004367]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"139","4","46","{""data"": [[550.3448275862069, 403.16593886462886]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"140","4","46","{""data"": [[1012.8879310344828, 356.3973799126638]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"141","4","47","{""data"": [[61.551724137931046, 37.64192139737992]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"142","4","47","{""data"": [[520.4741379310345, 210.0436681222708]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"143","4","47","{""data"": [[1011.0775862068969, 41.31004366812226]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"144","4","48","{""data"": [[72.41379310344828, 30.159388646288193]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"145","4","48","{""data"": [[501.4655172413794, 169.5480349344978]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"146","4","48","{""data"": [[1021.0344827586208, 76.92794759825327]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"147","4","49","{""data"": [[26.846551724137928, 23.33187772925764]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"148","4","49","{""data"": [[333.8310344827586, 131.53362445414848]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"149","4","49","{""data"": [[610.4672413793103, 15.645414847161575]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"150","4","50","{""data"": [[67.36379310344827, 17.411353711790397]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"151","4","50","{""data"": [[448.83965517241376, 238.25327510917032]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"152","4","50","{""data"": [[828.801724137931, 20.478602620087344]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"153","4","51","{""data"": [[107.18659746132892, 155.85096870342772]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"154","4","51","{""data"": [[449.7392466211008, 263.6780923994039]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"155","4","51","{""data"": [[837.0115627730098, 160.38152011922503]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"156","4","52","{""data"": [[64.45261832571047, 46.736214605067055]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"157","4","52","{""data"": [[512.0758903335216, 143.12965722801786]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"158","4","52","{""data"": [[736.9687419702963, 41.62444113263785]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"159","4","53","{""data"": [[86.89655172413795, 203.25327510917032]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"160","4","53","{""data"": [[515.0431034482759, 299.54148471615724]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"161","4","53","{""data"": [[976.6810344827588, 201.41921397379912]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"162","4","54","{""data"": [[41.63793103448276, 70.48034934497814]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"163","4","54","{""data"": [[491.5086206896553, 193.36244541484717]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"164","4","54","{""data"": [[1040.0431034482758, 68.64628820960696]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"165","4","55","{""data"": [[258.3001438922863, 280.62593144560356]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"166","4","55","{""data"": [[418.9378950614111, 358.86736214605065]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"167","4","55","{""data"": [[501.3162289942955, 271.2369597615499]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"168","4","56","{""data"": [[49.06293103448276, 146.68034934497817]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"169","4","56","{""data"": [[469.71724137931034, 237.94323144104803]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"170","4","56","{""data"": [[909.675, 110.82707423580788]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"171","4","57","{""data"": [[82.37068965517241, 62.66375545851528]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"172","4","57","{""data"": [[497.8448275862069, 223.14410480349343]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"173","4","57","{""data"": [[1009.2672413793106, 59.91266375545851]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"174","4","58","{""data"": [[190.62210288298473, 155.95529061102835]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"175","4","58","{""data"": [[511.7210802199497, 400.8912071535023]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"176","4","58","{""data"": [[534.3868903849119, 199.0104321907601]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"177","4","60","{""data"": [[73.31896551724138, 251.85589519650657]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"178","4","60","{""data"": [[544.9137931034484, 371.0698689956332]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"179","4","60","{""data"": [[973.0603448275864, 213.3406113537118]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"180","4","61","{""data"": [[58.97327586206897, 105.46724890829697]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"181","4","61","{""data"": [[330.01206896551724, 240.046288209607]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"182","4","61","{""data"": [[629.0482758620689, 109.69170305676856]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"183","4","62","{""data"": [[104.25265943779225, 179.32935916542476]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"184","4","62","{""data"": [[519.4394624595303, 321.1028315946349]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"185","4","62","{""data"": [[977.257053291536, 176.51266766020865]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"186","4","63","{""data"": [[53.14655172413793, 35.34061135371181]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"187","4","63","{""data"": [[386.9068965517241, 117.1816593886463]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"188","4","63","{""data"": [[791.5293103448276, 38.93013100436683]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"189","4","64","{""data"": [[132.67318464463744, 162.74217585692995]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"190","4","64","{""data"": [[511.61352073590615, 308.7928464977645]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"191","4","64","{""data"": [[991.4673158949586, 157.52608047690015]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"192","4","65","{""data"": [[83.2461842849067, 109.53800298062592]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"193","4","65","{""data"": [[533.2378333932884, 296.274217585693]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"194","4","65","{""data"": [[992.4970450691196, 121.0134128166915]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"195","4","66","{""data"": [[144.56896551724137, 75.73580786026201]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"196","4","66","{""data"": [[371.5086206896551, 153.22489082969432]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"197","4","66","{""data"": [[944.7413793103448, 62.96288209606987]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"198","4","67","{""data"": [[76.9396551724138, 38.141921397379946]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"199","4","67","{""data"": [[475.2155172413794, 254.56113537117912]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"200","4","67","{""data"": [[1007.4568965517242, 86.7445414847162]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"201","4","68","{""data"": [[33.401921989824814, 253.31445603576748]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"202","4","68","{""data"": [[443.2400174726348, 336.1654247391952]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"203","4","68","{""data"": [[849.3181304280796, 244.74366616989565]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"204","4","69","{""data"": [[11.012931034482756, 4.9366812227074135]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"205","4","69","{""data"": [[186.90517241379308, 55.30349344978164]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"206","4","69","{""data"": [[355.56034482758616, 11.312227074235793]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"207","4","70","{""data"": [[22.172946965414525, 307.9582712369598]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
